# AiWatermarkDetectabilityTest.txt
# UCD version: 16.0.0
# Security-spec version: 0.1.0
# Family: AiWatermarkDetectability (character-level)
# License: Apache-2.0
#
# Threat model: an input may carry character-level markers
# consistent with a known AI provider's watermark scheme.
# Two adversarial shapes are in scope:
#
#   * Provenance-preserving watermark — invisible markers
#     (NNBSP at word boundaries, Variation Selectors in plain
#     text, default-ignorable carriers) injected for
#     downstream attribution.  An attacker may attempt
#     removal via normalisation.
#   * Adversarial injection — fake markers consistent with
#     provider P's scheme injected to discredit human-written
#     text as AI-generated.
#
# Detection priority (first match wins):
#   1.  Adversarial             — NNBSP arithmetic ≥ 3 markers
#   2.  Gpt5ZwspModulo          — ZWSP arithmetic ≥ 3 markers
#   3.  Unknown                 — ≥ 2 distinct invisible categories
#   4.  NnbspBoundary           — single-category NNBSP
#   5.  VariationSelectorCarrier — VS NOT adjacent to emoji
#   6.  ZwjNonEmoji              — ZWJ NOT adjacent to emoji
#   7.  SmartQuoteAlternation   — paired curly quotes, no straights
#   8.  EmDashPattern           — em-dashes, no hyphen-minus
#   9.  StatisticalTokenChoice  — input contains AI-favored vocab
#   10. DefaultIgnorableCarrier — single-category residual DI
#
# Format:
#   <hex codepoints>; <classification>; <positions>; <attribution>; # <name>
#
# Attribution keys recognised by the AiWatermarkDetectability
# conformance harness:
#   markerCount=<N>  — codepoint count of the fired scheme's markers
#                      (0 when clear)
#
# Classifications produced by the AiWatermarkDetectability detector:
#   Clear
#   Hazard:NnbspBoundary
#   Hazard:VariationSelectorCarrier
#   Hazard:ZwjNonEmoji
#   Hazard:DefaultIgnorableCarrier

# @section Clear
# @level basic

# Empty input — vacuous no-watermark.
; Clear; ; markerCount=0; # empty input

# Pure ASCII "abc" — no markers.
61 62 63; Clear; ; markerCount=0; # ASCII "abc"

# Han "中文" — CJK content with no marker codepoints.
4E2D 6587; Clear; ; markerCount=0; # 中文

# Pure emoji 😀 — emoji on its own is not a watermark.
1F600; Clear; ; markerCount=0; # 😀 alone

# Emoji-ZWJ sequence 👩‍🔬 (woman + ZWJ + microscope = woman-
# scientist).  The ZWJ is adjacent to emoji bases on BOTH
# sides — legitimate emoji-ZWJ sequence, the detector stays clear.
1F469 200D 1F52C; Clear; ; markerCount=0; # 👩‍🔬 emoji-ZWJ sequence

# @section Clear
# @level strict

# Emoji + VS16 — explicit emoji-presentation selector after
# an emoji base.  Legitimate UTS #51 usage; the detector stays clear.
# Pins the VS emoji-adjacency exclusion.
1F600 FE0F; Clear; ; markerCount=0; # 😀 + VS16 emoji presentation

# @section NnbspBoundary
# @level basic

# Single U+202F NNBSP between ASCII letters.
61 202F 62; Hazard:NnbspBoundary; 1; markerCount=1; # "a NNBSP b"

# Two NNBSPs at distinct positions — aggregated under a
# single NnbspBoundary verdict, positions list both.
61 202F 62 202F 63; Hazard:NnbspBoundary; 1, 3; markerCount=2; # "a NNBSP b NNBSP c"

# @section VariationSelectorCarrier
# @level basic

# VS1 (U+FE00) in plain text — not adjacent to any emoji.
61 FE00 62; Hazard:VariationSelectorCarrier; 1; markerCount=1; # "a VS1 b"

# VS16 (U+FE0F) in plain text — NOT after an emoji, so the
# emoji-adjacency exclusion does not apply; fires.
61 FE0F 62; Hazard:VariationSelectorCarrier; 1; markerCount=1; # "a VS16 b" plain text

# Plane-14 IVS1 (U+E0100) in plain text — same shape, fires.
