# RtlInjectionTypeScriptTest.txt
# UCD version: 16.0.0
# Security-spec version: 0.1.0
# Family: D3 (v1.5 region-aware tokenization)
# Grammar: TypeScript (`Language.typescript`)
# License: Apache-2.0
#
# Companion fixture to RtlInjectionTokenizedTest.txt (the Rust
# grammar variant) that exercises D3's v1.5 region-aware
# behaviour under the TypeScript tokenizer.  Every row is
# evaluated with `detect input .typescript`.
#
# Format:
#   <hex codepoints>; <classification>; <positions>; <attribution>; # <name>

# @section Clear
# @level basic

# ASCII Hello — no payload, no bidi.
0048 0065 006C 006C 006F; Clear; ; # Hello

# RLO INSIDE a TypeScript template literal.
0060 0041 202E 0042 0060; Clear; ; # template with RLO filtered

# RLO INSIDE a TypeScript double-quote string.
0022 0041 202E 0042 0022; Clear; ; # double-quote with RLO

# RLO INSIDE a TypeScript line comment.
002F 002F 202E; Clear; ; # // line comment with RLO

# RLO INSIDE a TypeScript block comment (non-nestable).
002F 002A 202E 002A 002F; Clear; ; # /* */ block with RLO

# Hebrew text INSIDE a template literal.
0060 05D0 05D1 05D2 0060; Clear; ; # Hebrew in template

# 5-char Hebrew run INSIDE a template literal.
0060 05D0 05D1 05D2 05D3 05D4 0060; Clear; ; # 5-Hebrew in template

# Inner /* inside a TypeScript block comment — NOT nestable,
# closes at first */; the trailing /A is code with no hazard.
002F 002A 002F 002A 002A 002F 0041; Clear; ; # non-nestable block + code

# @section Hazard
# @level basic

# RLO BEFORE a TypeScript template literal.
202E 0060 0041 0060; Hazard:RloInLTRField; 0; # RLO + template in code prefix

# RLO at end of code AFTER a template closes.
0060 0048 0069 0060 202E; Hazard:RloInLTRField; 4; # template + trailing RLO

# Leading Hebrew BEFORE a TypeScript template literal.
05D0 0060 0041 0060; Hazard:FieldTakeover; 0; # Hebrew + template

# Mid-stream Hebrew in pure code.
0041 0042 05D0 0044; Hazard:StrongRTLInLTR; 2; # AB + Hebrew + D in code

# 5-char Hebrew run in pure code.
0041 0042 05D0 05D1 05D2 05D3 05D4 0044; Hazard:MixedOverflow; 2; # AB + 5-Hebrew + D in code

# RLO BEFORE a `//` line comment.
202E 002F 002F 0041; Hazard:RloInLTRField; 0; # RLO + // line comment

# RLO BEFORE an empty block comment.
202E 002F 002A 002A 002F; Hazard:RloInLTRField; 0; # RLO + /**/
